path,has_face,label,probs
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0676.png,1,real,"[0.9632481336593628, 0.03675190731883049]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0416.png,1,fake,"[0.3046485483646393, 0.6953514218330383]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0655.png,1,real,"[0.9346914291381836, 0.0653085708618164]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0829.png,1,real,"[1.0, 1.533310189927306e-08]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0511.png,1,fake,"[0.48641055822372437, 0.5135895013809204]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0609.png,1,fake,"[0.0009397576213814318, 0.9990602135658264]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0009.png,1,real,"[0.9970831274986267, 0.0029168897308409214]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0452.png,1,real,"[0.9991500377655029, 0.0008500067633576691]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0611.png,1,real,"[1.0, 3.036732974456835e-12]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0365.png,1,real,"[0.9999871253967285, 1.282851371797733e-05]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0142.png,1,real,"[0.9208405613899231, 0.07915942370891571]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0299.png,1,fake,"[0.27655187249183655, 0.7234480977058411]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0113.png,1,real,"[0.962742805480957, 0.03725719824433327]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0122.png,1,real,"[0.9979791045188904, 0.002020869869738817]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0665.png,1,real,"[0.9806064963340759, 0.01939355581998825]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0542.png,1,real,"[0.939670205116272, 0.06032974645495415]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0315.png,1,real,"[0.9966647028923035, 0.003335281740874052]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0777.png,1,fake,"[3.9114997889555525e-06, 0.9999960660934448]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0050.png,1,real,"[0.9999783039093018, 2.164841498597525e-05]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0959.png,1,real,"[0.9999997615814209, 2.7214983333578857e-07]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0790.png,1,real,"[0.6988607048988342, 0.30113932490348816]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0108.png,1,fake,"[2.207151283073472e-06, 0.9999977350234985]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0046.png,1,fake,"[0.0012889630161225796, 0.9987109899520874]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0287.png,1,real,"[0.9999945163726807, 5.453031917568296e-06]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0280.png,1,real,"[0.98848557472229, 0.011514448560774326]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0847.png,1,real,"[0.999980092048645, 1.995429556700401e-05]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0249.png,1,real,"[0.9999995231628418, 4.279834797671356e-07]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0225.png,1,real,"[0.9999668598175049, 3.315463618491776e-05]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0359.png,1,fake,"[6.724935701640788e-07, 0.9999992847442627]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0706.png,1,fake,"[0.22784851491451263, 0.7721514701843262]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0217.png,1,fake,"[0.12599889934062958, 0.8740010857582092]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0825.png,1,real,"[0.985763430595398, 0.014236558228731155]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0353.png,1,real,"[0.9987448453903198, 0.0012551024556159973]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0584.png,1,fake,"[2.0032932257496583e-10, 1.0]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0102.png,1,real,"[0.9990705847740173, 0.0009294070769101381]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0842.png,1,real,"[0.9998231530189514, 0.00017682315956335515]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0977.png,1,fake,"[0.35100844502449036, 0.648991584777832]"
/mnt/md0/beck/datasets/benchmarks/faceforensics_benchmark_images/0954.png,1,real,"[0.999975323677063, 2.4654791559441946e-05]"
